Nuts,Lat,Long,Level
CH055,46.94780048,9.23964036,3
CH056,46.67508105,9.57142252,3
CH057,47.58239444,9.08653833,3
CH061,47.0981425,8.17667009,3
CH062,46.58852573,8.6818762,3
CH063,47.03619741,8.69834385,3
CH064,46.86844515,8.20371766,3
CH065,46.78455536,8.40272167,3
CH066,47.15779485,8.54894571,3
CH070,46.33495829,8.77145997,3
CY000,35.02035338,33.29960609,3
CZ010,50.07077657,14.46338838,3
CZ020,49.76290361,14.44627821,3
CZ031,49.06845125,14.57141661,3
CZ032,49.63592556,13.10518734,3
CZ041,49.89627915,12.68141447,3
CZ042,50.48575298,13.77797848,3
CZ051,50.80809637,15.01106343,3
CZ052,50.40630312,15.8615382,3
CZ053,49.88458351,16.10989527,3
CZ063,48.95369236,15.59428431,3
CZ064,49.20824777,16.63841916,3
CZ071,49.57748176,17.28839376,3
CZ072,49.16527976,17.74919286,3
CZ080,49.79855978,18.01586542,3
DE111,48.77457411,9.17689489,3
DE112,48.72147648,8.95802232,3
DE113,48.65689182,9.34070929,3
DE114,48.66815658,9.73848158,3
DE115,48.84581733,9.14147063,3
DE116,48.91665615,9.50232549,3
DE117,49.14328852,9.17284382,3
DE118,49.04376813,9.17351058,3
DE119,49.11322609,9.60254823,3
DE11A,49.14827165,9.88067311,3
DE11B,49.54311383,9.73036838,3
DE11C,48.65815166,10.20774321,3
DE11D,48.90499218,10.03749282,3
DE121,48.70793945,8.21500847,3
DE122,49.01155527,8.40898864,3
DE123,49.12668503,8.57315309,3
DE124,48.60389728,8.22787134,3
DE125,49.40197507,8.68393001,3
DE126,49.41894788,8.50495844,3
DE127,49.46956961,9.26984113,3
DE128,49.29106135,8.77060469,3
DE129,48.87291353,8.71817881,3
DE12A,48.66242311,8.63244425,3
DE12B,48.8335196,8.70910689,3
DE12C,48.39635542,8.52228384,3
DE131,48.00617358,7.79514643,3
DE132,47.96425678,7.97892049,3
DE133,48.13891615,7.88289803,3
DE134,48.45863725,7.99783956,3
DE135,48.27607877,8.51372365,3
DE136,48.04272095,8.38588512,3
DE137,47.88726608,8.8053249,3
DE138,47.79007686,8.93329756,3
DE139,47.67271879,7.7712064,3
DE13A,47.72437175,8.24735382,3
DE141,48.20201933,9.38339081,3
DE142,48.48595085,8.96639751,3
DE143,48.24723903,8.93633295,3
DE144,48.38136429,9.94305115,3
DE145,48.31166721,9.86449203,3
DE146,48.07844827,9.70269106,3
DE147,47.71514046,9.40485981,3
DE148,47.79502779,9.75877321,3
DE149,48.00876019,9.26997289,3
DE211,48.73432678,11.37866009,3
DE212,48.15328288,11.54219061,3
DE213,47.84752162,12.10431789,3
DE214,48.21759387,12.74569456,3
DE215,47.73319001,12.90164474,3
DE216,47.74137364,11.4751491,3
DE217,48.34011208,11.3472519,3
DE218,48.05401078,11.92378438,3
DE219,48.89908866,11.34097491,3
DE21A,48.29801165,11.99326972,3
DE21B,48.44840541,11.75647971,3
DE21C,48.19638132,11.203807,3
DE21D,47.57319066,11.14784763,3
DE21E,48.03108144,10.96102512,3
DE21F,47.73116159,11.83449637,3
DE21G,48.21372831,12.31797278,3
DE21H,48.00408405,11.61806119,3
DE21I,48.65953411,11.20066321,3
DE21J,48.58780489,11.50564706,3
DE21K,47.71436175,12.11407091,3
DE21L,48.00730465,11.28128721,3
DE21M,47.86027599,12.59928235,3
DE21N,47.81536635,11.07476697,3
DE221,48.53716217,12.15140993,3
DE222,48.57305738,13.40670135,3
DE223,48.88231619,12.57399973,3
DE224,48.76049459,13.00330329,3
DE225,48.84885268,13.5079231,3
DE226,48.80065311,11.86016261,3
DE227,48.46194549,12.18860642,3
DE228,48.45339253,13.39710615,3
DE229,49.00053367,13.08757898,3
DE22A,48.45224576,12.82806384,3
DE22B,48.80637446,12.50585822,3
DE22C,48.61525455,12.64364385,3
DE231,49.44860896,11.8457738,3
DE232,49.01786388,12.11092441,3
DE233,49.681661,12.16572904,3
DE234,49.35878448,11.80793512,3
DE235,49.25870505,12.74312206,3
DE236,48.9933428,11.55638401,3
DE237,49.60354114,12.11015176,3
DE238,48.95515907,12.07244544,3
DE239,49.15533529,12.27887403,3
DE23A,49.92305883,12.18123136,3
DE241,49.88669992,10.89348041,3
DE242,49.9337541,11.58371152,3
DE243,50.25788885,10.97531516,3
DE244,50.30784007,11.88945639,3
DE245,49.81410764,10.84412634,3
DE246,49.78193751,11.53871716,3
DE247,50.16107257,10.95446237,3
DE248,49.71669565,11.14970749,3
DE249,50.2024715,11.84285334,3
DE24A,50.18576282,11.38578806,3
DE24B,50.10882425,11.47105701,3
DE24C,50.11975127,11.11912334,3
DE24D,49.98456963,12.02782037,3
DE251,49.29909519,10.55547475,3
DE252,49.57645688,10.98421651,3
DE253,49.49568315,10.96075963,3
DE254,49.42886605,11.09975131,3
DE255,49.33205332,11.02856782,3
DE256,49.13623752,10.50273749,3
DE257,49.66972553,10.94104251,3
DE258,49.45055083,10.85348463,3
DE259,49.49243027,11.36335102,3
DE25A,49.58362968,10.44577969,3
DE25B,49.23804916,11.13492051,3
DE25C,49.00728982,10.91559762,3
DE261,49.96121062,9.15917693,3
DE262,50.03865248,10.21994572,3
DE263,49.77713708,9.94305743,3
DE264,50.04469507,9.23081335,3
DE265,50.20965039,9.99664344,3
DE266,50.39453157,10.2667935,3
DE267,49.86007317,10.59653342,3
DE268,49.74747564,10.29735993,3
DE269,49.72608491,9.25837819,3
DE26A,50.00627564,9.70998584,3
DE26B,49.94963973,10.24455871,3
DE26C,49.56990333,9.90703454,3
DE271,48.35015999,10.86185042,3
DE272,47.88088786,10.60635465,3
DE273,47.73329853,10.30533729,3
DE274,47.91817672,10.1590117,3
DE275,48.43864077,11.08674913,3
DE276,48.30013997,10.73840526,3
DE277,48.60948358,10.5199239,3
DE278,48.32870977,10.36683248,3
DE279,48.27749994,10.14138607,3
DE27A,47.61904096,9.81355674,3
DE27B,47.70661949,10.64051806,3
DE27C,48.04234883,10.39232987,3
DE27D,48.77941208,10.72233137,3
DE27E,47.32047569,10.23336152,3
DE300,52.38772811,13.42109313,3
DE401,52.39909972,12.5307359,3
DE402,51.76422722,14.38502786,3
DE403,52.32268405,14.50257106,3
DE404,52.41449799,13.02576105,3
DE405,52.6612061,13.75548737,3
DE406,52.0117393,13.92057614,3
DE407,51.60744502,13.46860683,3
DE408,52.65870423,12.66280914,3
DE409,52.64192364,14.13435415,3
DE40A,52.9109388,13.18202292,3
DE40B,51.64148822,13.93238013,3
DE40C,52.2734327,14.21574391,3
DE40D,53.02682674,12.59431082,3
DE40E,52.22639297,12.75931874,3
DE40F,52.92225147,11.83605689,3
DE40G,51.62242446,14.41061138,3
DE40H,52.10251691,13.21733256,3
DE40I,53.2828326,13.84767112,3
DE501,53.10636462,8.73825983,3
DE502,53.50952906,8.57248935,3
DE600,53.43519165,10.02814519,3
DE711,49.87192409,8.65570756,3
DE712,50.12525641,8.63664037,3
DE713,50.08453139,8.78030082,3
DE714,50.08622462,8.24789894,3
DE715,49.6724794,8.63193966,3
DE716,49.84511841,8.78538649,3
DE717,49.74156591,8.46695752,3
DE718,50.28366381,8.51406355,3
DE719,50.23557079,9.26333201,3
DE71A,50.09648442,8.45973136,3
DE71B,49.64943637,8.96900361,3
DE71C,50.00992555,8.81988911,3
DE71D,50.13783926,8.09189528,3
DE71E,50.3532546,8.90334994,3
DE721,50.56911915,8.82745535,3
DE722,50.66158712,8.37822656,3
DE723,50.43053249,8.21506972,3
DE724,50.83274724,8.75369058,3
DE725,50.62128881,9.27885089,3
DE731,51.30421592,9.46089321,3
DE732,50.40161479,9.75539835,3
DE733,50.93340896,9.74776433,3
DE734,51.24823452,9.42640498,3
DE735,51.00517992,9.3764256,3
DE736,51.17361721,8.84371726,3
DE737,51.19601199,9.93050523,3
DE801,54.09543356,13.41448623,3
DE802,53.55793437,13.24484515,3
DE803,54.07611812,12.14038129,3
DE804,53.61181373,11.39986765,3
DE805,54.29175361,13.08744238,3
DE806,53.88513663,11.46150984,3
DE807,53.95817307,12.08738977,3
DE808,53.79626128,13.03270042,3
DE809,53.76818451,12.2785168,3
DE80A,53.37383109,11.22582446,3
DE80B,53.39030458,13.2656084,3
DE80C,53.41954625,12.72850881,3
DE80D,54.18182611,12.79601133,3
DE80E,53.76345733,11.27753452,3
DE80F,53.91532638,13.57816868,3
DE80G,53.50926034,11.90419863,3
DE80H,54.39126307,13.44522628,3
DE80I,53.58924968,14.05720728,3
DE911,52.25955656,10.52821136,3
DE912,52.10771569,10.36856573,3
DE913,52.41506708,10.77652398,3
DE914,52.57827774,10.63527948,3
DE915,51.50496078,9.95939625,3
DE916,51.9085104,10.3853566,3
DE917,52.07439451,10.83951421,3
DE918,51.73647973,9.78910317,3
DE919,51.68536833,10.39840375,3
DE91A,52.32261322,10.22492018,3
DE91B,52.1706924,10.65951592,3
DE922,52.77092747,8.70168424,3
DE923,52.11709644,9.41957246,3
DE925,52.09689592,9.94648683,3
DE926,51.90363991,9.60148355,3
DE927,52.44337677,9.12020774,3
DE928,52.30440016,9.20495194,3
DE929,52.2018036,9.77218616,3
DE931,52.71470041,10.08460885,3
DE932,53.6069415,8.89201943,3
DE933,53.29395303,10.01616884,3
DE934,53.02786293,11.17334002,3
DE935,53.28015043,10.61721228,3
DE936,53.26685397,8.77458891,3
DE937,52.98952399,9.33493666,3
DE938,52.96559074,9.77561579,3
DE939,53.57344294,9.39230677,3
DE93A,53.01186915,10.52425856,3
DE93B,52.85890323,9.18596453,3
DE941,53.0561841,8.64378831,3
DE942,53.36310599,7.15561943,3
DE943,53.14243976,8.21963203,3
DE944,52.27623838,8.05579529,3
DE945,53.56731846,8.08193328,3
DE946,53.19073263,8.00691638,3
DE947,53.51673403,7.39759645,3
DE948,52.89792449,7.93934058,3
DE949,52.71855799,7.41495165,3
DE94A,53.45518796,8.01179667,3
DE94B,52.55094,6.99123141,3
DE94C,53.19358009,7.53440071,3
DE94D,53.01004545,8.37219933,3
DE94E,52.1517903,8.06977956,3
DE94F,52.48237809,8.25042406,3
DE94G,53.34655958,8.40726465,3
DE94H,53.58272802,7.68866042,3
DEA11,51.21378918,6.81750455,3
DEA12,51.44705327,6.72472365,3
DEA13,51.44869496,7.01585123,3
DEA14,51.33975828,6.59339459,3
DEA15,51.15261859,6.41519116,3
DEA16,51.41504568,6.88396654,3
DEA17,51.51518473,6.85356914,3
DEA18,51.19026017,7.21931601,3
DEA19,51.16877117,7.06039553,3
DEA1A,51.26081288,7.16297123,3
DEA1B,51.61338476,6.25494251,3
DEA1C,51.11590223,6.9963294,3
DEA1D,51.16405668,6.655722,3
DEA1E,51.30188984,6.34121538,3
DEA1F,51.39755125,6.63860556,3
DEA22,50.71394356,7.11593253,3
DEA23,50.93704178,6.97026326,3
DEA24,51.0536173,7.00788835,3
DEA26,50.82316649,6.46083892,3
DEA27,50.87986885,6.74478713,3
DEA28,50.52990599,6.62523995,3
DEA29,51.04894968,6.17214979,3
DEA2A,50.83343589,7.52962682,3
DEA2B,51.01798222,7.19532424,3
DEA2C,50.77564875,7.26561789,3
DEA2D,50.53192667,6.21137735,3
DEA31,51.57103803,6.91524683,3
DEA32,51.48684152,7.07299728,3
DEA33,51.95361635,7.62336191,3
DEA34,51.85123519,6.83792774,3
DEA35,51.8479519,7.39457348,3
DEA36,51.6870439,7.1771103,3
DEA37,52.2091776,7.55940254,3
DEA38,51.88108109,7.9628156,3
DEA41,52.01829832,8.52031892,3
DEA42,51.85977049,8.41498272,3
DEA43,52.08189428,8.66745412,3
DEA44,51.66222809,9.1829474,3
DEA45,52.01112914,8.97362468,3
DEA46,52.31973189,8.72084723,3
DEA47,51.65828194,8.71001423,3
DEA51,51.46480267,7.22774695,3
DEA52,51.50212471,7.47096938,3
DEA53,51.28437231,7.49102827,3
DEA54,51.65850112,7.83691092,3
DEA55,51.53960401,7.20977158,3
DEA56,51.34902943,7.31341157,3
DEA57,51.27534678,8.42412343,3
DEA58,51.27606043,7.68184021,3
DEA59,51.13735761,7.97123151,3
DEA5A,50.92493074,8.18988464,3
DEA5B,51.53450474,8.20875874,3
DEA5C,51.48741507,7.63436185,3
DEB11,50.30008722,7.59332544,3
DEB12,50.49261296,7.04201367,3
DEB13,50.78983134,7.73814719,3
DEB14,49.80829292,7.68013356,3
DEB15,49.72245264,7.2738597,3
DEB16,50.13378659,7.18035158,3
DEB17,50.33266051,7.32837695,3
DEB18,50.51513509,7.46064218,3
DEB19,50.03320207,7.4829851,3
DEB1A,50.23990131,7.85146941,3
DEB1B,50.37578893,7.88020894,3
DEB21,49.7564943,6.65102753,3
DEB22,49.8819192,6.97451749,3
DEB23,50.0676205,6.41714015,3
DEB24,50.22687421,6.73529413,3
DEB25,49.63682937,6.71013018,3
DEB31,49.53427047,8.36578144,3
DEB32,49.43544344,7.74852548,3
DEB33,49.20055603,8.09952056,3
DEB34,49.48611521,8.38669555,3
DEB35,49.9180543,8.2448059,3
DEB36,49.35365339,8.15753079,3
DEB37,49.19318721,7.59511746,3
DEB38,49.32742368,8.43439132,3
DEB39,49.64061885,8.34357791,3
DEB3A,49.24699763,7.36899138,3
DEB3B,49.7547975,8.19221453,3
DEB3C,49.45097642,8.06608771,3
DEB3D,49.6376575,7.9276459,3
DEB3E,49.04761343,8.23775048,3
DEB3F,49.36206659,7.69960722,3
DEB3G,49.58716066,7.4849049,3
DEB3H,49.11830484,8.08022251,3
DEB3I,49.35872984,8.37302714,3
DEB3J,49.93012271,8.03285503,3
DEB3K,49.11724509,7.62224561,3
DEC01,49.29191992,6.91853892,3
DEC02,49.46670272,6.66505231,3
DEC03,49.31774356,7.11076821,3
DEC04,49.3140178,6.77081532,3
DEC05,49.21529177,7.23804642,3
DEC06,49.51533804,7.10357306,3
DED21,51.07939213,13.77460675,3
DED2C,51.30743626,14.23985537,3
DED2D,51.18102405,14.71993371,3
DED2E,51.22755984,13.50940526,3
DED2F,50.75089652,13.89309438,3
DED41,50.76572587,12.88772991,3
DED42,50.59764461,12.98110823,3
DED43,51.00182965,13.14592485,3
DED44,50.44888633,12.22698837,3
DED45,50.73574951,12.51255916,3
DED51,51.35064868,12.39014422,3
DED52,51.1741649,12.53417637,3
DED53,51.55522066,12.69491332,3
DEE01,51.86801635,12.23597353,3
DEE02,51.4741073,11.97152438,3
DEE03,52.11439882,11.64305475,3
DEE04,52.66850786,11.19106609,3
DEE05,51.64784787,12.20822299,3
DEE06,52.27854298,12.00537895,3
DEE07,52.20200067,11.38967288,3
DEE08,51.14926427,11.83145447,3
DEE09,51.83759861,10.98535608,3
